MatchDate,Season,Model,HomeTeam,AwayTeam,P_H,P_D,P_A,Actual,PSH,PSD,PSA,PSCH,PSCD,PSCA
2019-09-01,2019-2020,Weight_0_100,Twente,Utrecht,0.4389,0.248,0.313,0,3.63,4.04,1.96,4.87,4.16,1.69
2019-09-01,2019-2020,Weight_0_100,Sparta Rotterdam,Ajax,0.2837,0.2023,0.5141,2,9.27,6.3,1.29,9.13,6.68,1.28
2019-09-01,2019-2020,Weight_0_100,Vitesse,AZ Alkmaar,0.4204,0.3038,0.2758,0,2.35,3.74,2.92,2.83,3.81,2.39
2019-09-01,2019-2020,Weight_0_100,Willem II,Feyenoord,0.2234,0.2291,0.5475,2,3.82,3.86,1.95,4.36,4.19,1.76
2019-09-01,2019-2020,Weight_0_100,Waalwijk,PSV Eindhoven,0.0295,0.0971,0.8733,2,11.63,7.05,1.23,10.76,6.6,1.25
2019-09-14,2019-2020,Weight_0_100,Ajax,Heerenveen,0.8851,0.0819,0.033,0,1.14,8.7,17.27,1.11,10.3,20.04
2019-09-14,2019-2020,Weight_0_100,AZ Alkmaar,Sparta Rotterdam,0.4059,0.2806,0.3136,0,1.53,4.65,5.82,1.57,4.5,5.57
2019-09-14,2019-2020,Weight_0_100,VVV Venlo,Groningen,0.341,0.3531,0.3059,0,3.01,3.32,2.49,3.08,3.37,2.42
2019-09-14,2019-2020,Weight_0_100,PSV Eindhoven,Vitesse,0.5863,0.2512,0.1624,0,1.43,4.79,7.4,1.38,5.16,8.05
2019-09-14,2019-2020,Weight_0_100,Utrecht,FC Emmen,0.7274,0.1788,0.0938,0,1.34,6.09,7.72,1.27,6.71,9.43
2019-09-15,2019-2020,Weight_0_100,For Sittard,Twente,0.1655,0.2067,0.6278,2,3.12,3.88,2.19,3.31,3.95,2.08
2019-09-15,2019-2020,Weight_0_100,Heracles,Willem II,0.4271,0.2351,0.3377,0,2.14,3.94,3.19,2.09,3.85,3.37
2019-09-15,2019-2020,Weight_0_100,Zwolle,Waalwijk,0.6769,0.1921,0.1309,0,1.65,4.45,4.85,1.65,4.37,4.91
2019-09-15,2019-2020,Weight_0_100,Feyenoord,Den Haag,0.5687,0.2395,0.1918,0,1.26,6.19,11.58,1.29,6.1,9.88
2019-09-20,2019-2020,Weight_0_100,Twente,Heracles,0.6235,0.2115,0.165,2,2.46,3.82,2.73,2.59,3.77,2.61
2019-09-21,2019-2020,Weight_0_100,Sparta Rotterdam,Waalwijk,0.9304,0.0503,0.0193,0,1.53,4.51,6.01,1.4,5.51,6.79
2019-09-21,2019-2020,Weight_0_100,Groningen,Zwolle,0.4266,0.3395,0.2339,0,1.89,3.82,4.09,1.85,3.76,4.36
2019-09-21,2019-2020,Weight_0_100,Willem II,VVV Venlo,0.496,0.2327,0.2713,0,1.7,4.25,4.65,1.71,4.14,4.71
2019-09-21,2019-2020,Weight_0_100,Vitesse,For Sittard,0.8697,0.0928,0.0375,0,1.31,6.26,8.53,1.22,7.56,10.69
2019-09-22,2019-2020,Weight_0_100,Heerenveen,Utrecht,0.2985,0.2673,0.4342,1,3.25,3.9,2.12,3.28,4.02,2.08
2019-09-22,2019-2020,Weight_0_100,FC Emmen,Feyenoord,0.1254,0.2294,0.6451,1,6.76,4.76,1.47,6.23,5.04,1.47
2019-09-22,2019-2020,Weight_0_100,Den Haag,AZ Alkmaar,0.2929,0.3006,0.4064,2,5.21,4.75,1.57,5.54,4.82,1.53
2019-09-22,2019-2020,Weight_0_100,PSV Eindhoven,Ajax,0.4158,0.2653,0.3189,1,2.88,3.99,2.29,3.12,4.09,2.13
2019-09-25,2019-2020,Weight_0_100,Ajax,For Sittard,0.9698,0.0233,0.007,0,1.04,17.49,33.28,1.04,16.43,38.52
2019-09-25,2019-2020,Weight_0_100,PSV Eindhoven,Groningen,0.6784,0.25,0.0716,0,1.24,6.86,11.03,1.36,5.22,8.77
2019-09-26,2019-2020,Weight_0_100,Feyenoord,AZ Alkmaar,0.3892,0.3202,0.2906,2,2.17,3.79,3.23,2.19,3.72,3.23
2019-09-27,2019-2020,Weight_0_100,FC Emmen,Den Haag,0.1993,0.2537,0.547,0,2.13,3.9,3.24,2.11,3.94,3.25
2019-09-28,2019-2020,Weight_0_100,VVV Venlo,Heerenveen,0.4079,0.2834,0.3087,2,3.4,3.69,2.13,3.54,3.92,2.01
2019-09-28,2019-2020,Weight_0_100,Ajax,Groningen,0.789,0.1582,0.0528,0,1.14,8.29,18.8,1.12,9.55,20.33
2019-09-28,2019-2020,Weight_0_100,For Sittard,Sparta Rotterdam,0.0737,0.1214,0.8049,1,3.82,3.94,1.93,3.93,4.4,1.8
2019-09-29,2019-2020,Weight_0_100,Waalwijk,Vitesse,0.0678,0.1336,0.7986,2,5.84,4.41,1.56,5.45,4.73,1.55
2019-09-29,2019-2020,Weight_0_100,Utrecht,Willem II,0.6359,0.1882,0.1759,0,1.54,4.32,6.32,1.66,3.94,5.51
2019-09-29,2019-2020,Weight_0_100,Zwolle,PSV Eindhoven,0.0947,0.1999,0.7055,2,7.18,5.15,1.41,7.69,6.04,1.34
2019-09-29,2019-2020,Weight_0_100,AZ Alkmaar,Heracles,0.6879,0.2115,0.1005,0,1.56,4.44,5.76,1.52,4.61,6.14
2019-09-29,2019-2020,Weight_0_100,Feyenoord,Twente,0.5557,0.2442,0.2001,0,1.44,5.02,6.78,1.35,5.59,8.27
2019-09-01,2019-2020,Weight_10_90,Twente,Utrecht,0.4228,0.2516,0.3255,0,3.63,4.04,1.96,4.87,4.16,1.69
2019-09-01,2019-2020,Weight_10_90,Sparta Rotterdam,Ajax,0.2749,0.2046,0.5205,2,9.27,6.3,1.29,9.13,6.68,1.28
2019-09-01,2019-2020,Weight_10_90,Vitesse,AZ Alkmaar,0.4285,0.3,0.2715,0,2.35,3.74,2.92,2.83,3.81,2.39
2019-09-01,2019-2020,Weight_10_90,Willem II,Feyenoord,0.2316,0.2305,0.5379,2,3.82,3.86,1.95,4.36,4.19,1.76
2019-09-01,2019-2020,Weight_10_90,Waalwijk,PSV Eindhoven,0.0322,0.1016,0.8661,2,11.63,7.05,1.23,10.76,6.6,1.25
2019-09-14,2019-2020,Weight_10_90,Ajax,Heerenveen,0.8797,0.0851,0.0352,0,1.14,8.7,17.27,1.11,10.3,20.04
2019-09-14,2019-2020,Weight_10_90,AZ Alkmaar,Sparta Rotterdam,0.4087,0.2796,0.3116,0,1.53,4.65,5.82,1.57,4.5,5.57
2019-09-14,2019-2020,Weight_10_90,VVV Venlo,Groningen,0.3327,0.3529,0.3144,0,3.01,3.32,2.49,3.08,3.37,2.42
2019-09-14,2019-2020,Weight_10_90,PSV Eindhoven,Vitesse,0.5923,0.2493,0.1584,0,1.43,4.79,7.4,1.38,5.16,8.05
2019-09-14,2019-2020,Weight_10_90,Utrecht,FC Emmen,0.7161,0.1837,0.1002,0,1.34,6.09,7.72,1.27,6.71,9.43
2019-09-15,2019-2020,Weight_10_90,For Sittard,Twente,0.1822,0.2158,0.602,2,3.12,3.88,2.19,3.31,3.95,2.08
2019-09-15,2019-2020,Weight_10_90,Heracles,Willem II,0.4296,0.2381,0.3323,0,2.14,3.94,3.19,2.09,3.85,3.37
2019-09-15,2019-2020,Weight_10_90,Zwolle,Waalwijk,0.6719,0.1925,0.1357,0,1.65,4.45,4.85,1.65,4.37,4.91
2019-09-15,2019-2020,Weight_10_90,Feyenoord,Den Haag,0.5796,0.2339,0.1865,0,1.26,6.19,11.58,1.29,6.1,9.88
2019-09-20,2019-2020,Weight_10_90,Twente,Heracles,0.6014,0.2197,0.1788,2,2.46,3.82,2.73,2.59,3.77,2.61
2019-09-21,2019-2020,Weight_10_90,Sparta Rotterdam,Waalwijk,0.9177,0.0585,0.0238,0,1.53,4.51,6.01,1.4,5.51,6.79
2019-09-21,2019-2020,Weight_10_90,Groningen,Zwolle,0.4326,0.3354,0.232,0,1.89,3.82,4.09,1.85,3.76,4.36
2019-09-21,2019-2020,Weight_10_90,Willem II,VVV Venlo,0.4977,0.2362,0.2661,0,1.7,4.25,4.65,1.71,4.14,4.71
2019-09-21,2019-2020,Weight_10_90,Vitesse,For Sittard,0.8619,0.0976,0.0404,0,1.31,6.26,8.53,1.22,7.56,10.69
2019-09-22,2019-2020,Weight_10_90,Heerenveen,Utrecht,0.3072,0.2672,0.4256,1,3.25,3.9,2.12,3.28,4.02,2.08
2019-09-22,2019-2020,Weight_10_90,FC Emmen,Feyenoord,0.1363,0.2303,0.6333,1,6.76,4.76,1.47,6.23,5.04,1.47
2019-09-22,2019-2020,Weight_10_90,Den Haag,AZ Alkmaar,0.2918,0.2985,0.4098,2,5.21,4.75,1.57,5.54,4.82,1.53
2019-09-22,2019-2020,Weight_10_90,PSV Eindhoven,Ajax,0.4199,0.2667,0.3134,1,2.88,3.99,2.29,3.12,4.09,2.13
2019-09-25,2019-2020,Weight_10_90,Ajax,For Sittard,0.9667,0.0255,0.0078,0,1.04,17.49,33.28,1.04,16.43,38.52
2019-09-25,2019-2020,Weight_10_90,PSV Eindhoven,Groningen,0.6753,0.2512,0.0736,0,1.24,6.86,11.03,1.36,5.22,8.77
2019-09-26,2019-2020,Weight_10_90,Feyenoord,AZ Alkmaar,0.3983,0.3119,0.2898,2,2.17,3.79,3.23,2.19,3.72,3.23
2019-09-27,2019-2020,Weight_10_90,FC Emmen,Den Haag,0.2207,0.2602,0.5191,0,2.13,3.9,3.24,2.11,3.94,3.25
2019-09-28,2019-2020,Weight_10_90,VVV Venlo,Heerenveen,0.4001,0.283,0.317,2,3.4,3.69,2.13,3.54,3.92,2.01
2019-09-28,2019-2020,Weight_10_90,Ajax,Groningen,0.7798,0.164,0.0562,0,1.14,8.29,18.8,1.12,9.55,20.33
2019-09-28,2019-2020,Weight_10_90,For Sittard,Sparta Rotterdam,0.0833,0.1322,0.7846,1,3.82,3.94,1.93,3.93,4.4,1.8
