MatchDate,Season,Model,HomeTeam,AwayTeam,P_H,P_D,P_A,Actual,PSH,PSD,PSA,PSCH,PSCD,PSCA
2019-09-01,2019-2020,Weight_0_100,Arsenal,Tottenham,0.3872,0.267,0.3459,1,2.38,3.67,3.0,2.59,3.7,2.72
2019-09-01,2019-2020,Weight_0_100,Everton,Wolves,0.3933,0.3645,0.2422,0,2.17,3.36,3.71,2.08,3.29,4.19
2019-09-14,2019-2020,Weight_0_100,Wolves,Chelsea,0.3854,0.3032,0.3114,2,3.07,3.37,2.48,3.1,3.43,2.42
2019-09-14,2019-2020,Weight_0_100,Man United,Leicester,0.3706,0.2855,0.3438,0,1.99,3.53,4.17,2.19,3.37,3.66
2019-09-14,2019-2020,Weight_0_100,Norwich,Man City,0.0467,0.0932,0.8602,0,18.79,9.48,1.14,25.83,13.49,1.09
2019-09-14,2019-2020,Weight_0_100,Tottenham,Crystal Palace,0.4861,0.2772,0.2368,0,1.4,4.92,8.87,1.44,4.91,7.61
2019-09-14,2019-2020,Weight_0_100,Brighton,Burnley,0.2602,0.2832,0.4566,1,2.17,3.35,3.75,2.15,3.44,3.68
2019-09-14,2019-2020,Weight_0_100,Liverpool,Newcastle,0.7755,0.1655,0.059,0,1.16,8.41,20.6,1.21,7.29,14.23
2019-09-14,2019-2020,Weight_0_100,Sheffield United,Southampton,0.5473,0.2557,0.197,2,2.45,3.35,3.12,2.44,3.3,3.18
2019-09-15,2019-2020,Weight_0_100,Bournemouth,Everton,0.3241,0.2796,0.3963,0,3.05,3.53,2.41,3.37,3.57,2.23
2019-09-15,2019-2020,Weight_0_100,Watford,Arsenal,0.1797,0.2131,0.6071,1,3.66,3.74,2.06,4.22,3.92,1.88
2019-09-16,2019-2020,Weight_0_100,Aston Villa,West Ham,0.3291,0.2858,0.3851,1,2.65,3.6,2.69,2.72,3.71,2.57
2019-09-20,2019-2020,Weight_0_100,Southampton,Bournemouth,0.4171,0.2336,0.3494,2,2.12,3.65,3.55,2.17,3.6,3.46
2019-09-21,2019-2020,Weight_0_100,Man City,Watford,0.9421,0.0461,0.0118,0,1.11,10.69,27.58,1.11,11.33,25.74
2019-09-21,2019-2020,Weight_0_100,Leicester,Tottenham,0.377,0.3024,0.3206,0,2.92,3.53,2.5,2.72,3.51,2.69
2019-09-21,2019-2020,Weight_0_100,Burnley,Norwich,0.5047,0.2108,0.2845,0,2.02,3.8,3.73,2.02,3.88,3.67
2019-09-21,2019-2020,Weight_0_100,Everton,Sheffield United,0.3886,0.3375,0.2739,2,1.69,3.8,5.76,1.79,3.57,5.31
2019-09-21,2019-2020,Weight_0_100,Newcastle,Brighton,0.5468,0.2923,0.1609,1,2.55,3.15,3.16,2.42,3.24,3.3
2019-09-22,2019-2020,Weight_0_100,Crystal Palace,Wolves,0.4372,0.3201,0.2427,1,2.68,3.15,2.98,2.9,3.1,2.81
2019-09-22,2019-2020,Weight_0_100,West Ham,Man United,0.3874,0.2565,0.3561,0,3.33,3.56,2.24,3.07,3.45,2.45
2019-09-22,2019-2020,Weight_0_100,Arsenal,Aston Villa,0.6098,0.2302,0.1599,0,1.43,4.86,8.01,1.42,5.23,7.59
2019-09-22,2019-2020,Weight_0_100,Chelsea,Liverpool,0.1201,0.1939,0.686,2,3.66,3.66,2.08,3.24,3.64,2.27
2019-09-28,2019-2020,Weight_0_100,Aston Villa,Burnley,0.3668,0.2858,0.3475,1,2.39,3.45,3.15,2.36,3.44,3.19
2019-09-28,2019-2020,Weight_0_100,Wolves,Watford,0.5829,0.2592,0.1579,0,1.9,3.5,4.69,1.96,3.52,4.34
2019-09-28,2019-2020,Weight_0_100,Everton,Man City,0.1131,0.2504,0.6365,2,10.21,6.03,1.3,8.9,5.51,1.36
2019-09-28,2019-2020,Weight_0_100,Tottenham,Southampton,0.6564,0.2096,0.134,0,1.44,4.69,8.18,1.38,5.23,8.73
2019-09-28,2019-2020,Weight_0_100,Sheffield United,Liverpool,0.1313,0.2316,0.6371,2,9.4,5.22,1.36,9.44,5.53,1.34
2019-09-28,2019-2020,Weight_0_100,Chelsea,Brighton,0.6519,0.2186,0.1294,0,1.44,4.65,8.41,1.45,4.64,8.06
2019-09-28,2019-2020,Weight_0_100,Bournemouth,West Ham,0.392,0.2306,0.3774,1,2.49,3.62,2.86,2.41,3.65,2.96
2019-09-28,2019-2020,Weight_0_100,Crystal Palace,Norwich,0.6042,0.2029,0.193,0,1.97,3.78,3.96,1.91,3.89,4.09
2019-09-29,2019-2020,Weight_0_100,Leicester,Newcastle,0.4985,0.3037,0.1977,0,1.53,4.21,7.27,1.52,4.33,7.04
2019-09-30,2019-2020,Weight_0_100,Man United,Arsenal,0.4015,0.2509,0.3476,1,2.41,3.56,3.03,2.26,3.57,3.29
2019-09-01,2019-2020,Weight_10_90,Arsenal,Tottenham,0.391,0.2638,0.3452,1,2.38,3.67,3.0,2.59,3.7,2.72
2019-09-01,2019-2020,Weight_10_90,Everton,Wolves,0.3983,0.3623,0.2394,0,2.17,3.36,3.71,2.08,3.29,4.19
2019-09-14,2019-2020,Weight_10_90,Wolves,Chelsea,0.3718,0.3041,0.324,2,3.07,3.37,2.48,3.1,3.43,2.42
2019-09-14,2019-2020,Weight_10_90,Man United,Leicester,0.376,0.2829,0.3411,0,1.99,3.53,4.17,2.19,3.37,3.66
2019-09-14,2019-2020,Weight_10_90,Norwich,Man City,0.0539,0.1008,0.8454,0,18.79,9.48,1.14,25.83,13.49,1.09
2019-09-14,2019-2020,Weight_10_90,Tottenham,Crystal Palace,0.4825,0.2749,0.2426,0,1.4,4.92,8.87,1.44,4.91,7.61
2019-09-14,2019-2020,Weight_10_90,Brighton,Burnley,0.2724,0.2866,0.4411,1,2.17,3.35,3.75,2.15,3.44,3.68
2019-09-14,2019-2020,Weight_10_90,Liverpool,Newcastle,0.7593,0.1747,0.066,0,1.16,8.41,20.6,1.21,7.29,14.23
2019-09-14,2019-2020,Weight_10_90,Sheffield United,Southampton,0.5392,0.2603,0.2006,2,2.45,3.35,3.12,2.44,3.3,3.18
2019-09-15,2019-2020,Weight_10_90,Bournemouth,Everton,0.3233,0.2797,0.3969,0,3.05,3.53,2.41,3.37,3.57,2.23
2019-09-15,2019-2020,Weight_10_90,Watford,Arsenal,0.1922,0.2174,0.5903,1,3.66,3.74,2.06,4.22,3.92,1.88
2019-09-16,2019-2020,Weight_10_90,Aston Villa,West Ham,0.3399,0.2819,0.3782,1,2.65,3.6,2.69,2.72,3.71,2.57
2019-09-20,2019-2020,Weight_10_90,Southampton,Bournemouth,0.4106,0.2352,0.3542,2,2.12,3.65,3.55,2.17,3.6,3.46
2019-09-21,2019-2020,Weight_10_90,Man City,Watford,0.9352,0.0509,0.0139,0,1.11,10.69,27.58,1.11,11.33,25.74
2019-09-21,2019-2020,Weight_10_90,Leicester,Tottenham,0.3891,0.2978,0.3131,0,2.92,3.53,2.5,2.72,3.51,2.69
2019-09-21,2019-2020,Weight_10_90,Burnley,Norwich,0.483,0.2135,0.3034,0,2.02,3.8,3.73,2.02,3.88,3.67
2019-09-21,2019-2020,Weight_10_90,Everton,Sheffield United,0.3937,0.3383,0.2679,2,1.69,3.8,5.76,1.79,3.57,5.31
2019-09-21,2019-2020,Weight_10_90,Newcastle,Brighton,0.5423,0.2939,0.1638,1,2.55,3.15,3.16,2.42,3.24,3.3
2019-09-22,2019-2020,Weight_10_90,Crystal Palace,Wolves,0.4324,0.3203,0.2473,1,2.68,3.15,2.98,2.9,3.1,2.81
2019-09-22,2019-2020,Weight_10_90,West Ham,Man United,0.3843,0.2538,0.3619,0,3.33,3.56,2.24,3.07,3.45,2.45
2019-09-22,2019-2020,Weight_10_90,Arsenal,Aston Villa,0.592,0.2346,0.1734,0,1.43,4.86,8.01,1.42,5.23,7.59
2019-09-22,2019-2020,Weight_10_90,Chelsea,Liverpool,0.1382,0.2061,0.6556,2,3.66,3.66,2.08,3.24,3.64,2.27
2019-09-28,2019-2020,Weight_10_90,Aston Villa,Burnley,0.3849,0.283,0.3321,1,2.39,3.45,3.15,2.36,3.44,3.19
2019-09-28,2019-2020,Weight_10_90,Wolves,Watford,0.5747,0.2619,0.1634,0,1.9,3.5,4.69,1.96,3.52,4.34
2019-09-28,2019-2020,Weight_10_90,Everton,Man City,0.1221,0.2551,0.6227,2,10.21,6.03,1.3,8.9,5.51,1.36
2019-09-28,2019-2020,Weight_10_90,Tottenham,Southampton,0.6455,0.2126,0.1418,0,1.44,4.69,8.18,1.38,5.23,8.73
2019-09-28,2019-2020,Weight_10_90,Sheffield United,Liverpool,0.1401,0.2401,0.6198,2,9.4,5.22,1.36,9.44,5.53,1.34
2019-09-28,2019-2020,Weight_10_90,Chelsea,Brighton,0.6556,0.2171,0.1273,0,1.44,4.65,8.41,1.45,4.64,8.06
2019-09-28,2019-2020,Weight_10_90,Bournemouth,West Ham,0.3969,0.2304,0.3727,1,2.49,3.62,2.86,2.41,3.65,2.96
2019-09-28,2019-2020,Weight_10_90,Crystal Palace,Norwich,0.5874,0.2065,0.2061,0,1.97,3.78,3.96,1.91,3.89,4.09
2019-09-29,2019-2020,Weight_10_90,Leicester,Newcastle,0.4954,0.3031,0.2015,0,1.53,4.21,7.27,1.52,4.33,7.04
2019-09-30,2019-2020,Weight_10_90,Man United,Arsenal,0.4165,0.2483,0.3352,1,2.41,3.56,3.03,2.26,3.57,3.29
2019-09-01,2019-2020,Weight_20_80,Arsenal,Tottenham,0.3944,0.2607,0.3449,1,2.38,3.67,3.0,2.59,3.7,2.72
2019-09-01,2019-2020,Weight_20_80,Everton,Wolves,0.4034,0.36,0.2366,0,2.17,3.36,3.71,2.08,3.29,4.19
2019-09-14,2019-2020,Weight_20_80,Wolves,Chelsea,0.3585,0.3046,0.3369,2,3.07,3.37,2.48,3.1,3.43,2.42
2019-09-14,2019-2020,Weight_20_80,Man United,Leicester,0.3814,0.2802,0.3384,0,1.99,3.53,4.17,2.19,3.37,3.66
2019-09-14,2019-2020,Weight_20_80,Norwich,Man City,0.0619,0.1086,0.8296,0,18.79,9.48,1.14,25.83,13.49,1.09
2019-09-14,2019-2020,Weight_20_80,Tottenham,Crystal Palace,0.4789,0.2725,0.2485,0,1.4,4.92,8.87,1.44,4.91,7.61
2019-09-14,2019-2020,Weight_20_80,Brighton,Burnley,0.2849,0.2895,0.4257,1,2.17,3.35,3.75,2.15,3.44,3.68
2019-09-14,2019-2020,Weight_20_80,Liverpool,Newcastle,0.7426,0.1838,0.0736,0,1.16,8.41,20.6,1.21,7.29,14.23
2019-09-14,2019-2020,Weight_20_80,Sheffield United,Southampton,0.5307,0.2649,0.2044,2,2.45,3.35,3.12,2.44,3.3,3.18
