date,league,home,away,market,taken_odds,closing_odds,clv_delta,beat_clv
2026-08-21T13:51:33.543125,EPL,Manchester City,Bournemouth,Home Win,1.52,1.44,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,SerieA,Atalanta BC,Sassuolo,Home Win,1.59,1.51,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.33,1.26,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,NEC Nijmegen,Excelsior,Home Win,1.53,1.45,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,SerieA,Atalanta BC,Sassuolo,Home Win,1.59,1.51,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.33,1.26,5.26,True
2026-08-21T13:51:33.543125,EPL,Manchester City,Bournemouth,Home Win,1.52,1.44,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.33,1.26,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Angers,Lille,Away Win,1.76,1.67,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.33,1.26,5.26,True
2026-08-21T13:51:33.543125,EPL,Manchester City,Bournemouth,Home Win,1.52,1.44,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,NEC Nijmegen,Excelsior,Home Win,1.53,1.45,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,NEC Nijmegen,Excelsior,Home Win,1.53,1.45,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.33,1.26,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,NBA,Denver Nuggets,Houston Rockets,Home Win,1.7,1.61,5.26,True
2026-08-21T13:51:33.543125,SerieA,Atalanta BC,Sassuolo,Home Win,1.59,1.51,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,EPL,Manchester City,Bournemouth,Home Win,1.52,1.44,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.32,1.25,5.26,True
2026-08-21T13:51:33.543125,SerieA,Inter Milan,Monza,Home Win,1.24,1.18,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.32,1.25,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,NEC Nijmegen,Excelsior,Home Win,1.53,1.45,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,EPL,Hull City,Manchester United,Home Win,10.0,9.5,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,EPL,Hull City,Manchester United,Home Win,10.0,9.5,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Troyes,Paris FC,Away Win,2.4,2.28,5.26,True
2026-08-21T13:51:33.543125,EPL,Hull City,Manchester United,Home Win,10.0,9.5,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.32,1.25,5.26,True
2026-08-21T13:51:33.543125,EPL,Hull City,Manchester United,Home Win,10.0,9.5,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,SC Cambuur,Feyenoord,Away Win,1.32,1.25,5.26,True
2026-08-21T13:51:33.543125,EPL,Hull City,Manchester United,Home Win,10.0,9.5,5.26,True
2026-08-21T13:51:33.543125,EPL,Manchester City,Bournemouth,Home Win,1.52,1.44,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Home Win,1.4,1.33,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Troyes,Paris FC,Over 2.5,2.2,2.09,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Over 2.5,1.86,1.77,5.26,True
2026-08-21T13:51:33.543125,SerieA,Atalanta BC,Sassuolo,Over 2.5,2.19,2.08,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Troyes,Paris FC,Over 2.5,2.2,2.09,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Over 2.5,1.86,1.77,5.26,True
2026-08-21T13:51:33.543125,EPL,Newcastle United,Liverpool,Over 2.5,2.3,2.18,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Troyes,Paris FC,Over 2.5,2.2,2.09,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Over 2.5,1.86,1.77,5.26,True
2026-08-21T13:51:33.543125,Ligue1,Troyes,Paris FC,Over 2.5,2.2,2.09,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,NEC Nijmegen,Excelsior,Over 2.5,2.17,2.06,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Over 2.5,1.86,1.77,5.26,True
2026-08-21T13:51:33.543125,SerieA,Atalanta BC,Sassuolo,Over 2.5,2.19,2.08,5.26,True
2026-08-21T13:51:33.543125,Eredivisie,PSV Eindhoven,Groningen,Over 2.5,1.86,1.77,5.26,True
2026-08-21T13:51:33.543125,NBA,Miami Heat,Minnesota Timberwolves,Under 243.5,1.96,1.86,5.26,True
